"topic","term","beta"
5,"offline",8.38298856895678e-07
6,"offline",9.00372033724334e-07
1,"showed",0.000357218576791304
2,"showed",8.80706538013056e-07
3,"showed",8.87806159954261e-07
4,"showed",8.63146410346709e-07
5,"showed",9.22128742585246e-06
6,"showed",9.00372033724334e-07
1,"podcast",5.43399830031659e-05
2,"podcast",8.80706538013056e-07
3,"podcast",0.000187327099750349
4,"podcast",0.0128617446605763
5,"podcast",8.38298856895678e-07
6,"podcast",9.00372033724334e-07
1,"improve",0.000170146504157454
2,"improve",8.01442949591881e-05
3,"improve",0.000933084274111928
4,"improve",8.63146410346709e-07
5,"improve",8.38298856895678e-07
6,"improve",0.000271011982151025
1,"ia",8.90819393494524e-07
2,"ia",8.80706538013056e-07
3,"ia",9.76586775949687e-06
4,"ia",8.63146410346709e-07
5,"ia",5.95192188395932e-05
6,"ia",9.00372033724334e-07
1,"similar",8.90819393494524e-07
2,"similar",8.80706538013056e-07
3,"similar",9.76586775949687e-06
4,"similar",8.63146410346709e-07
5,"similar",8.38298856895678e-07
6,"similar",0.00158555515138855
1,"youtube",8.90819393494524e-07
2,"youtube",8.80706538013056e-07
3,"youtube",8.87806159954261e-07
4,"youtube",3.53890028242151e-05
5,"youtube",8.38298856895678e-07
6,"youtube",0.00662763854024483
1,"better",1.8707207263385e-05
2,"better",2.73019026784047e-05
3,"better",0.00522118802669101
4,"better",8.63146410346709e-07
5,"better",8.38298856895678e-07
6,"better",0.00846439748904247
1,"everything",0.00969300582061392
2,"everything",9.68777191814362e-06
3,"everything",8.87806159954261e-07
4,"everything",8.63146410346709e-07
5,"everything",8.38298856895678e-07
6,"everything",9.00372033724334e-07
1,"else",0.00478459096245909
2,"else",8.80706538013056e-07
3,"else",8.87806159954261e-07
4,"else",8.63146410346709e-07
5,"else",8.38298856895678e-07
6,"else",9.00372033724334e-07
1,"king",8.90819393494524e-07
2,"king",5.37230988187964e-05
3,"king",8.87806159954261e-07
4,"king",8.63146410346709e-07
5,"king",8.38298856895678e-07
6,"king",9.00372033724334e-07
1,"user",8.90819393494524e-07
2,"user",0.0076366063911112
3,"user",7.19122989562951e-05
4,"user",8.63146410346709e-07
5,"user",9.22128742585246e-06
6,"user",0.00232386021904251
1,"loads",0.000989700346172416
2,"loads",8.80706538013056e-07
3,"loads",5.41561757572099e-05
4,"loads",1.81260746172809e-05
5,"loads",8.38298856895678e-07
6,"loads",5.49226940571845e-05
1,"glitches",8.90819393494524e-07
2,"glitches",8.80706538013056e-07
3,"glitches",9.76586775949687e-06
4,"glitches",0.00344481732369371
5,"glitches",9.22128742585246e-06
6,"glitches",4.59189737199411e-05
1,"bar",8.90819393494524e-07
2,"bar",8.80706538013056e-07
3,"bar",8.87806159954261e-07
4,"bar",0.013465947147819
5,"bar",8.38298856895678e-07
6,"bar",9.90409237096768e-06
1,"disappears",8.90819393494524e-07
2,"disappears",8.80706538013056e-07
3,"disappears",8.87806159954261e-07
4,"disappears",0.00403175688272948
5,"disappears",8.38298856895678e-07
6,"disappears",9.00372033724334e-07
1,"button",8.90819393494524e-07
2,"button",8.80706538013056e-07
3,"button",0.010326073446428
4,"button",8.63146410346709e-07
5,"button",8.38298856895678e-07
6,"button",9.00372033724334e-07
1,"missing",8.90819393494524e-07
2,"missing",8.80706538013056e-07
3,"missing",0.00122606030689683
4,"missing",0.00189978524917311
5,"missing",2.5987264563766e-05
6,"missing",9.00372033724334e-07
1,"sort",8.90819393494524e-07
